Movie-Title,rating,Director_stars
Jurassic World,7.0,"Director:Colin Trevorrow,  Stars:Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer"
Captain America: Civil War,7.8,"Directors:Anthony Russo, Joe Russo,  Stars:Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
The Terminator,8.0,"Director:James Cameron,  Stars:Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Boogie Nights,7.9,"Director:Paul Thomas Anderson,  Stars:Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán"
Fast & Furious 7,7.1,"Director:James Wan,  Stars:Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham"
Star Wars: Episode I - The Phantom Menace,6.5,"Director:George Lucas,  Stars:Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd"
Hannibal,6.8,"Director:Ridley Scott,  Stars:Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta"
Resident Evil,6.7,"Director:Paul W.S. Anderson,  Stars:Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce"
The Invisible Man,7.1,"Director:Leigh Whannell,  Stars:Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge"
Sen to Chihiro no kamikakushi,8.6,"Director:Hayao Miyazaki,  Stars:Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi"
Kong: Skull Island,6.6,"Director:Jordan Vogt-Roberts,  Stars:Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
Hellboy,5.2,"Director:Neil Marshall,  Stars:David Harbour, Milla Jovovich, Ian McShane, Sasha Lane"
Blade Runner,8.1,"Director:Ridley Scott,  Stars:Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"
The Exorcist,8.0,"Director:William Friedkin,  Stars:Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
The Truman Show,8.1,"Director:Peter Weir,  Stars:Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich"
Into the Wild,8.1,"Director:Sean Penn,  Stars:Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
The Usual Suspects,8.5,"Director:Bryan Singer,  Stars:Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
The Mountain Between Us,6.4,"Director:Hany Abu-Assad,  Stars:Kate Winslet, Idris Elba, Beau Bridges, Dermot Mulroney"
The Karate Kid,7.3,"Director:John G. Avildsen,  Stars:Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove"
Irréversible,7.4,"Director:Gaspar Noé,  Stars:Monica Bellucci, Vincent Cassel, Albert Dupontel, Jo Prestia"
A Star Is Born,7.6,"Director:Bradley Cooper,  Stars:Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg"
Jumanji: Welcome to the Jungle,6.9,"Director:Jake Kasdan,  Stars:Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
Cars,7.1,"Directors:John Lasseter, Joe Ranft,  Stars:Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy"
Doctor Strange,7.5,"Director:Scott Derrickson,  Stars:Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
Hillbilly Elegy,6.7,"Director:Ron Howard,  Stars:Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett"
Tropic Thunder,7.0,"Director:Ben Stiller,  Stars:Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn"
The Hateful Eight,7.8,"Director:Quentin Tarantino,  Stars:Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
Donnie Darko,8.0,"Director:Richard Kelly,  Stars:Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne"
The Pianist,8.5,"Director:Roman Polanski,  Stars:Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
Malèna,7.5,"Director:Giuseppe Tornatore,  Stars:Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana"
The King of Staten Island,7.1,"Director:Judd Apatow,  Stars:Pete Davidson, Bel Powley, Ricky Velez, Lou Wilson"
Snowpiercer,7.1,"Director:Bong Joon Ho,  Stars:Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
Oldeuboi,8.4,"Director:Chan-wook Park,  Stars:Choi Min-sik, Yoo Ji-Tae, Kang Hye-jeong, Kim Byeong-Ok"
The Nice Guys,7.4,"Director:Shane Black,  Stars:Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer"
Salinui chueok,8.1,"Director:Bong Joon Ho,  Stars:Kang-ho Song, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song"
The Old Guard,6.7,"Director:Gina Prince-Bythewood,  Stars:Charlize Theron, KiKi Layne, Matthias Schoenaerts, Marwan Kenzari"
Zootopia,8.0,"Directors:Byron Howard, Rich Moore, Jared Bush,  Stars:Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate"
Ant-Man,7.3,"Director:Peyton Reed,  Stars:Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly"
Weird Science,6.6,"Director:John Hughes,  Stars:Anthony Michael Hall, Ilan Mitchell-Smith, Kelly LeBrock, Bill Paxton"
Tremors,7.1,"Director:Ron Underwood,  Stars:Kevin Bacon, Fred Ward, Finn Carter, Michael Gross"
6 Underground,6.1,"Director:Michael Bay,  Stars:Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy"
The Girl Next Door,6.6,"Director:Gregory Wilson,  Stars:William Atherton, Blythe Auffarth, Blanche Baker, Kevin Chamberlin"
Sonic the Hedgehog,6.5,"Director:Jeff Fowler,  Stars:Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter"
American Made,7.2,"Director:Doug Liman,  Stars:Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons"
The Sandlot,7.8,"Director:David Mickey Evans,  Stars:Tom Guiry, Mike Vitar, Art LaFleur, Patrick Renna"
About Time,7.8,"Director:Richard Curtis,  Stars:Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson"
"Il buono, il brutto, il cattivo",8.8,"Director:Sergio Leone,  Stars:Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
The Incredibles,8.0,"Director:Brad Bird,  Stars:Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee"
Crimson Peak,6.5,"Director:Guillermo del Toro,  Stars:Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam"
Legally Blonde,6.3,"Director:Robert Luketic,  Stars:Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis"
The Lost Boys,7.3,"Director:Joel Schumacher,  Stars:Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes"
The Revenant,8.0,"Director:Alejandro G. Iñárritu,  Stars:Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson"
Godzilla: King of the Monsters,6.0,"Director:Michael Dougherty,  Stars:Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe"
Collateral,7.5,"Director:Michael Mann,  Stars:Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo"
300: Rise of an Empire,6.2,"Director:Noam Murro,  Stars:Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson"
The Intouchables,8.5,"Directors:Olivier Nakache, Éric Toledano,  Stars:François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Hook,6.8,"Director:Steven Spielberg,  Stars:Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins"
Saw II,6.6,"Director:Darren Lynn Bousman,  Stars:Donnie Wahlberg, Beverley Mitchell, Franky G, Emmanuelle Vaugier"
Sabotage,5.7,"Director:David Ayer,  Stars:Arnold Schwarzenegger, Sam Worthington, Terrence Howard, Olivia Williams"
Casino Royale,8.0,"Director:Martin Campbell,  Stars:Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
The Game,7.8,"Director:David Fincher,  Stars:Michael Douglas, Deborah Kara Unger, Sean Penn, James Rebhorn"
Caligola,5.3,"Director:Tinto Brass,  Stars:Malcolm McDowell, Peter O'Toole, Helen Mirren, Teresa Ann Savoy"
Harry Potter and the Prisoner of Azkaban,7.9,"Director:Alfonso Cuarón,  Stars:Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths"
Iron Man Three,7.1,"Director:Shane Black,  Stars:Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle"
John Wick: Chapter 3 - Parabellum,7.4,"Director:Chad Stahelski,  Stars:Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne"
Predestination,7.5,"Directors:Michael Spierig, Peter Spierig,  Stars:Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West"
The Sweetest Thing,5.2,"Director:Roger Kumble,  Stars:Cameron Diaz, Thomas Jane, Christina Applegate, Lillian Adams"
Ava,5.4,"Director:Tate Taylor,  Stars:Jessica Chastain, John Malkovich, Common, Geena Davis"
Midway,6.8,"Director:Jack Smight,  Stars:Charlton Heston, Henry Fonda, James Coburn, Glenn Ford"
Gemini Man,5.7,"Director:Ang Lee,  Stars:Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong"
The Witches,5.3,"Director:Robert Zemeckis,  Stars:Anne Hathaway, Octavia Spencer, Stanley Tucci, Chris Rock"
Psycho,8.5,"Director:Alfred Hitchcock,  Stars:Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
The Age of Adaline,7.2,"Director:Lee Toland Krieger,  Stars:Blake Lively, Michiel Huisman, Harrison Ford, Kathy Baker"
The Little Rascals,6.3,"Director:Penelope Spheeris,  Stars:Travis Tedford, Bug Hall, Brittany Ashton Holmes, Kevin Jamal Woods"
Angel Has Fallen,6.4,"Director:Ric Roman Waugh,  Stars:Gerard Butler, Frederick Schmidt, Danny Huston, Rocci Williams"
Cidade de Deus,8.6,"Directors:Fernando Meirelles, Kátia Lund,  Stars:Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen"
Napoleon Dynamite,6.9,"Director:Jared Hess,  Stars:Jon Heder, Efren Ramirez, Jon Gries, Aaron Ruell"
"I, Tonya",7.5,"Director:Craig Gillespie,  Stars:Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson"
Death Proof,7.0,"Director:Quentin Tarantino,  Stars:Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito"
Saw 3D,5.6,"Director:Kevin Greutert,  Stars:Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes"
The Imitation Game,8.0,"Director:Morten Tyldum,  Stars:Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech"
The Hunt,6.5,"Director:Craig Zobel,  Stars:Betty Gilpin, Hilary Swank, Ike Barinholtz, Wayne Duvall"
Starship Troopers,7.2,"Director:Paul Verhoeven,  Stars:Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey"
The Meg,5.6,"Director:Jon Turteltaub,  Stars:Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis"
Hustlers,6.3,"Director:Lorene Scafaria,  Stars:Constance Wu, Jennifer Lopez, Julia Stiles, Mette Towley"
X-Men: Apocalypse,6.9,"Director:Bryan Singer,  Stars:James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
Charlie and the Chocolate Factory,6.6,"Director:Tim Burton,  Stars:Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter"
Murder on the Orient Express,6.5,"Director:Kenneth Branagh,  Stars:Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench"
Rush Hour,7.0,"Director:Brett Ratner,  Stars:Jackie Chan, Chris Tucker, Ken Leung, Tom Wilkinson"
Point Break,7.3,"Director:Kathryn Bigelow,  Stars:Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
Fast & Furious,6.6,"Director:Justin Lin,  Stars:Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster"
Alien: Covenant,6.4,"Director:Ridley Scott,  Stars:Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
The Girl on the Train,6.5,"Director:Tate Taylor,  Stars:Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux"
Scream,7.3,"Director:Wes Craven,  Stars:Neve Campbell, Courteney Cox, David Arquette, Skeet Ulrich"
Pitch Perfect 2,6.4,"Director:Elizabeth Banks,  Stars:Anna Kendrick, Rebel Wilson, Hailee Steinfeld, Brittany Snow"
X: First Class,7.7,"Director:Matthew Vaughn,  Stars:James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon"
Grown Ups 2,5.4,"Director:Dennis Dugan,  Stars:Adam Sandler, Kevin James, Chris Rock, David Spade"
Creed II,7.1,"Director:Steven Caple Jr.,  Stars:Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad"
The Conjuring 2,7.3,"Director:James Wan,  Stars:Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor"
Maniac,6.1,"Director:Franck Khalfoun,  Stars:Elijah Wood, Nora Arnezeder, America Olivo, Megan Duffy"
The Lobster,7.2,"Director:Yorgos Lanthimos,  Stars:Colin Farrell, Rachel Weisz, Jessica Barden, Olivia Colman"
Midway,6.7,"Director:Roland Emmerich,  Stars:Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans"
Polar,6.3,"Director:Jonas Åkerlund,  Stars:Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren"
Jerry Maguire,7.3,"Director:Cameron Crowe,  Stars:Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston"
The Dreamers,7.2,"Director:Bernardo Bertolucci,  Stars:Michael Pitt, Louis Garrel, Eva Green, Anna Chancellor"
King Kong,5.9,"Director:John Guillermin,  Stars:Jeff Bridges, Charles Grodin, Jessica Lange, John Randolph"
Dirty Dancing,7.0,"Director:Emile Ardolino,  Stars:Patrick Swayze, Jennifer Grey, Jerry Orbach, Cynthia Rhodes"
The Paper Tigers,6.3,"Director:Quoc Bao Tran,  Stars:Alain Uy, Yuji Okumoto, Ron Yuan, Matthew Page"
Un tè con Mussolini,6.9,"Director:Franco Zeffirelli,  Stars:Maggie Smith, Judi Dench, Joan Plowright, Cher"
The Perks of Being a Wallflower,8.0,"Director:Stephen Chbosky,  Stars:Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd"
Star Wars: Episode II - Attack of the Clones,6.5,"Director:George Lucas,  Stars:Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee"
Annihilation,6.8,"Director:Alex Garland,  Stars:Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong"
Pieces of a Woman,7.1,"Director:Kornél Mundruczó,  Stars:Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Iliza Shlesinger"
Contagion,6.7,"Director:Steven Soderbergh,  Stars:Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow"
The Virgin Suicides,7.2,"Director:Sofia Coppola,  Stars:Kirsten Dunst, Josh Hartnett, James Woods, Kathleen Turner"
Hachi: A Dog's Tale,8.1,"Director:Lasse Hallström,  Stars:Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer"
Ammonite,6.5,"Director:Francis Lee,  Stars:Kate Winslet, Saoirse Ronan, Gemma Jones, James McArdle"
Once Upon a Time in America,8.4,"Director:Sergio Leone,  Stars:Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams"
Harry Potter and the Half-Blood Prince,7.6,"Director:David Yates,  Stars:Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
Trainspotting,8.1,"Director:Danny Boyle,  Stars:Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd"
Revolutionary Road,7.3,"Director:Sam Mendes,  Stars:Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie"
Bird Box,6.6,"Director:Susanne Bier,  Stars:Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson"
Rosemary's Baby,8.0,"Director:Roman Polanski,  Stars:Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer"
Manhunter,7.2,"Director:Michael Mann,  Stars:William Petersen, Kim Greist, Joan Allen, Brian Cox"
Scary Movie,6.2,"Director:Keenen Ivory Wayans,  Stars:Anna Faris, Jon Abrahams, Marlon Wayans, Carmen Electra"
The Town,7.5,"Director:Ben Affleck,  Stars:Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner"
The Croods: A New Age,7.0,"Director:Joel Crawford,  Stars:Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener"
Iron Man 2,7.0,"Director:Jon Favreau,  Stars:Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle"
EuroTrip,6.6,"Directors:Jeff Schaffer, Alec Berg, David Mandel,  Stars:Scott Mechlowicz, Jacob Pitts, Michelle Trachtenberg, Travis Wester"
The Nest,6.4,"Director:Sean Durkin,  Stars:Jude Law, Carrie Coon, Oona Roche, Charlie Shotwell"
Coming to America,7.1,"Director:John Landis,  Stars:Eddie Murphy, Paul Bates, Garcelle Beauvais, Feather"
Cinderella,6.9,"Director:Kenneth Branagh,  Stars:Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter"
Saw III,6.2,"Director:Darren Lynn Bousman,  Stars:Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh"
Cape Fear,7.3,"Director:Martin Scorsese,  Stars:Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis"
The Maze Runner,6.8,"Director:Wes Ball,  Stars:Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster"
The Hunger Games: Catching Fire,7.5,"Director:Francis Lawrence,  Stars:Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman"
Creed,7.6,"Director:Ryan Coogler,  Stars:Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad"
Frozen,7.4,"Directors:Chris Buck, Jennifer Lee,  Stars:Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad"
Jackie Brown,7.5,"Director:Quentin Tarantino,  Stars:Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda"
Alita: Battle Angel,7.3,"Director:Robert Rodriguez,  Stars:Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali"
Thor: The Dark World,6.9,"Director:Alan Taylor,  Stars:Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård"
Inside Out,8.1,"Directors:Pete Docter, Ronnie Del Carmen,  Stars:Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling"
Beetle Juice,7.5,"Director:Tim Burton,  Stars:Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe"
Gifted,7.6,"Director:Marc Webb,  Stars:Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer"
Source Code,7.5,"Director:Duncan Jones,  Stars:Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright"
Zack and Miri Make a Porno,6.5,"Director:Kevin Smith,  Stars:Seth Rogen, Elizabeth Banks, Craig Robinson, Gerry Bednob"
First Blood,7.7,"Director:Ted Kotcheff,  Stars:Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney"
Capharnaüm,8.4,"Director:Nadine Labaki,  Stars:Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad"
Godzilla,6.4,"Director:Gareth Edwards,  Stars:Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe"
Mortal Engines,6.1,"Director:Christian Rivers,  Stars:Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae"
28 Days Later...,7.6,"Director:Danny Boyle,  Stars:Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer"
Don't Breathe,7.1,"Director:Fede Alvarez,  Stars:Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto"
Mission: Impossible - Rogue Nation,7.4,"Director:Christopher McQuarrie,  Stars:Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg"
The Whole Nine Yards,6.7,"Director:Jonathan Lynn,  Stars:Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan"
The Princess Diaries,6.4,"Director:Garry Marshall,  Stars:Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo"
I'm Thinking of Ending Things,6.6,"Director:Charlie Kaufman,  Stars:Jesse Plemons, Jessie Buckley, Toni Collette, David Thewlis"
Amadeus,8.3,"Director:Milos Forman,  Stars:F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
Shame,7.2,"Director:Steve McQueen,  Stars:Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters"
The Devil's Advocate,7.5,"Director:Taylor Hackford,  Stars:Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones"
The Secret Life of Pets 2,6.5,"Directors:Chris Renaud, Jonathan del Val,  Stars:Patton Oswalt, Kevin Hart, Harrison Ford, Eric Stonestreet"
John Wick: Chapter 2,7.5,"Director:Chad Stahelski,  Stars:Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose"
The Man from U.N.C.L.E.,7.3,"Director:Guy Ritchie,  Stars:Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki"
Sin City,8.0,"Directors:Frank Miller, Quentin Tarantino, Robert Rodriguez,  Stars:Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba"
Unbreakable,7.3,"Director:M. Night Shyamalan,  Stars:Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark"
Transformers: The Last Knight,5.2,"Director:Michael Bay,  Stars:Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock"
The Descent,7.2,"Director:Neil Marshall,  Stars:Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder"
